date,temperature_2m,precipitation,cloud_cover,wind_speed_10m,wind_speed_100m,wind_direction_10m,surface_pressure,shortwave_radiation,country
2024-11-21 09:00:00,2.6,0.2,99.0,41.03333333333334,61.93333333333334,190.33333333333334,973.1666666666666,24.666666666666668,Finland
2024-11-21 12:00:00,2.9,0.4,76.66666666666667,37.0,56.13333333333333,198.33333333333334,974.2666666666668,88.33333333333333,Finland
2024-11-21 15:00:00,1.4333333333333336,1.7000000000000002,68.66666666666667,32.46666666666667,49.333333333333336,202.33333333333334,976.3000000000001,11.0,Finland
2024-11-21 18:00:00,1.3,0.6000000000000001,56.0,33.166666666666664,50.43333333333334,193.33333333333334,976.3666666666667,0.0,Finland
2024-11-21 21:00:00,0.9,3.1,96.0,32.6,49.5,202.33333333333334,976.1666666666666,0.0,Finland
2024-11-22 00:00:00,0.9666666666666668,0.6000000000000001,90.0,25.166666666666668,38.6,214.33333333333334,976.5,0.0,Finland
2024-11-22 03:00:00,-0.13333333333333333,0.30000000000000004,94.66666666666667,23.96666666666667,36.833333333333336,240.33333333333334,978.1999999999999,0.0,Finland
2024-11-22 06:00:00,-0.5333333333333333,0.30000000000000004,77.33333333333333,20.7,32.06666666666667,236.66666666666666,979.6,0.0,Finland
2024-11-22 09:00:00,-0.8666666666666667,0.4,83.66666666666667,17.833333333333332,27.8,236.0,981.6666666666666,35.333333333333336,Finland
2024-11-22 12:00:00,-0.7000000000000001,0.1,93.66666666666667,16.366666666666667,25.866666666666664,241.66666666666666,983.6333333333333,104.33333333333333,Finland
2024-11-22 15:00:00,-2.1999999999999997,0.4,88.0,16.333333333333332,26.03333333333333,256.6666666666667,985.6333333333333,16.666666666666668,Finland
2024-11-22 18:00:00,-2.9333333333333336,0.30000000000000004,99.0,12.166666666666666,21.566666666666666,267.6666666666667,987.5333333333333,0.0,Finland
2024-11-22 21:00:00,-2.8333333333333335,0.30000000000000004,97.66666666666667,10.666666666666666,19.466666666666665,266.3333333333333,989.7333333333332,0.0,Finland
2024-11-23 00:00:00,-2.733333333333333,0.0,39.0,12.766666666666666,22.433333333333334,259.6666666666667,991.6666666666666,0.0,Finland
2024-11-23 03:00:00,-3.9,0.0,43.0,10.6,19.566666666666666,254.66666666666666,993.2333333333332,0.0,Finland
2024-11-23 06:00:00,-3.5,0.0,90.33333333333333,6.333333333333333,14.466666666666669,260.6666666666667,994.6333333333333,0.0,Finland
2024-11-23 09:00:00,-2.3333333333333335,0.0,99.33333333333333,6.666666666666667,13.366666666666667,231.66666666666666,995.9666666666667,27.666666666666668,Finland
2024-11-23 12:00:00,-1.8666666666666665,0.0,66.33333333333333,6.566666666666666,13.0,156.66666666666666,995.9666666666667,117.0,Finland
2024-11-23 15:00:00,-0.7333333333333333,1.2000000000000002,60.333333333333336,17.400000000000002,27.666666666666668,266.0,996.8000000000001,11.333333333333334,Finland
2024-11-23 18:00:00,-2.8000000000000003,0.0,39.0,18.0,30.366666666666664,282.3333333333333,999.5333333333333,0.0,Finland
2024-11-23 21:00:00,-2.0,0.0,51.666666666666664,17.866666666666667,29.433333333333334,278.3333333333333,1002.2666666666668,0.0,Finland
2024-11-24 00:00:00,-1.6333333333333335,0.0,71.66666666666667,13.799999999999999,23.900000000000002,261.6666666666667,1004.5666666666666,0.0,Finland
2024-11-24 03:00:00,-2.1,0.0,0.0,16.966666666666665,30.333333333333332,253.66666666666666,1006.8666666666667,0.0,Finland
2024-11-24 06:00:00,-0.9,0.0,0.0,16.26666666666667,30.333333333333332,260.3333333333333,1009.1,0.0,Finland
2024-11-24 09:00:00,0.5666666666666668,0.0,2.0,15.533333333333333,29.7,257.6666666666667,1011.4666666666667,46.333333333333336,Finland
2024-11-24 12:00:00,2.5666666666666664,0.0,19.666666666666668,16.166666666666668,28.666666666666668,254.33333333333334,1012.9333333333334,129.66666666666666,Finland
2024-11-24 15:00:00,3.266666666666667,0.0,96.33333333333333,19.3,32.266666666666666,219.0,1014.5666666666666,18.333333333333332,Finland
2024-11-24 18:00:00,3.1,0.0,97.0,27.166666666666668,42.333333333333336,191.66666666666666,1014.3000000000001,0.0,Finland
2024-11-24 21:00:00,2.1999999999999997,0.0,100.0,31.333333333333332,48.03333333333333,178.33333333333334,1012.6666666666666,0.0,Finland
2024-11-25 00:00:00,1.9000000000000001,2.1,100.0,38.46666666666667,58.06666666666666,176.33333333333334,1009.3666666666667,0.0,Finland
2024-11-25 03:00:00,2.5,2.4,100.0,38.233333333333334,57.93333333333334,185.0,1005.8333333333334,0.0,Finland
2024-11-25 06:00:00,4.366666666666667,2.4,100.0,38.43333333333333,59.13333333333333,195.33333333333334,1003.2333333333332,0.0,Finland
2024-11-25 09:00:00,6.466666666666666,0.9,100.0,36.53333333333333,57.96666666666667,206.66666666666666,1002.5,12.666666666666666,Finland
2024-11-25 12:00:00,7.8999999999999995,0.8,100.0,36.53333333333333,57.5,214.33333333333334,1002.2333333333332,58.333333333333336,Finland
2024-11-25 15:00:00,7.633333333333333,0.0,100.0,34.733333333333334,55.06666666666666,210.66666666666666,1001.6333333333333,8.333333333333334,Finland
2024-11-25 18:00:00,8.299999999999999,0.7,100.0,33.6,53.4,215.33333333333334,1001.5666666666666,0.0,Finland
2024-11-25 21:00:00,8.799999999999999,1.2,100.0,33.9,53.666666666666664,213.66666666666666,1001.5333333333333,0.0,Finland
2024-11-26 00:00:00,8.366666666666667,1.4,100.0,34.03333333333333,53.86666666666667,212.66666666666666,1001.3666666666667,0.0,Finland
2024-11-26 03:00:00,7.366666666666667,1.5,100.0,34.26666666666667,54.26666666666667,211.33333333333334,1000.9,0.0,Finland
2024-11-26 06:00:00,7.966666666666666,0.9,100.0,33.86666666666667,53.26666666666667,217.0,1001.0,0.0,Finland
2024-11-26 09:00:00,8.166666666666666,0.4,100.0,28.366666666666664,44.9,225.66666666666666,1002.6666666666666,7.0,Finland
2024-11-26 12:00:00,8.033333333333333,0.0,100.0,20.46666666666667,32.93333333333333,232.0,1004.5333333333333,28.0,Finland
2024-11-26 15:00:00,6.8,0.0,100.0,20.133333333333336,33.76666666666667,230.33333333333334,1006.5,10.333333333333334,Finland
2024-11-26 18:00:00,6.633333333333333,0.0,100.0,21.866666666666664,36.03333333333333,225.66666666666666,1007.9,0.0,Finland
2024-11-26 21:00:00,6.566666666666666,0.0,100.0,19.366666666666667,32.333333333333336,226.0,1009.0666666666666,0.0,Finland
2024-11-27 00:00:00,6.133333333333333,0.0,100.0,15.533333333333333,26.666666666666668,220.66666666666666,1009.8666666666667,0.0,Finland
2024-11-27 03:00:00,5.966666666666666,0.1,99.33333333333333,16.53333333333333,28.399999999999995,217.0,1010.3000000000001,0.0,Finland
2024-11-27 06:00:00,5.733333333333333,0.4,92.33333333333333,16.766666666666666,28.733333333333334,206.33333333333334,1010.7333333333332,0.0,Finland
2024-11-27 09:00:00,5.900000000000001,0.7,100.0,19.333333333333332,31.433333333333334,202.66666666666666,1011.4333333333334,8.0,Finland
2024-11-27 12:00:00,6.333333333333333,0.7000000000000001,100.0,18.73333333333333,30.03333333333333,223.66666666666666,1011.7333333333332,32.666666666666664,Finland
2024-11-27 15:00:00,5.866666666666667,0.1,57.666666666666664,15.5,27.066666666666666,226.33333333333334,1012.6,8.333333333333334,Finland
2024-11-27 18:00:00,5.6000000000000005,0.2,94.66666666666667,15.5,27.2,226.66666666666666,1013.4,0.0,Finland
2024-11-27 21:00:00,4.833333333333333,2.7,99.66666666666667,11.299999999999999,21.600000000000005,226.66666666666666,1013.9666666666667,0.0,Finland
2024-11-28 00:00:00,5.2,1.1,100.0,12.266666666666666,21.866666666666664,219.0,1014.5333333333333,0.0,Finland
2024-11-28 03:00:00,4.866666666666667,0.7,99.66666666666667,10.033333333333333,19.766666666666666,222.33333333333334,1014.5333333333333,0.0,Finland
2024-11-28 06:00:00,5.066666666666666,0.2,95.66666666666667,11.700000000000001,21.099999999999998,211.0,1014.5333333333333,0.0,Finland
2024-11-28 09:00:00,5.133333333333334,0.1,70.0,12.700000000000001,22.066666666666666,205.33333333333334,1015.1999999999999,23.666666666666668,Finland
2024-11-28 12:00:00,5.3999999999999995,0.8,100.0,9.200000000000001,14.9,222.0,1015.5333333333333,48.333333333333336,Finland
2024-11-28 15:00:00,2.2666666666666666,0.0,86.33333333333333,4.466666666666666,9.5,329.3333333333333,1015.9,10.333333333333334,Finland
2024-11-28 18:00:00,2.3666666666666667,0.0,99.66666666666667,7.766666666666667,14.9,331.0,1017.0,0.0,Finland
2024-11-28 21:00:00,2.566666666666667,0.0,99.33333333333333,11.200000000000001,20.233333333333334,334.3333333333333,1018.3000000000001,0.0,Finland
2024-11-29 00:00:00,2.4,0.0,100.0,9.6,15.4,347.6666666666667,1019.6,0.0,Finland
2024-11-29 03:00:00,2.1666666666666665,0.0,100.0,10.066666666666668,15.833333333333334,327.6666666666667,1020.9333333333334,0.0,Finland
2024-11-29 06:00:00,1.5999999999999999,0.0,100.0,7.7,11.9,283.0,1021.8666666666667,0.0,Finland
2024-11-29 09:00:00,1.9666666666666666,0.0,100.0,13.166666666666666,20.2,256.6666666666667,1022.5,12.666666666666666,Finland
2024-11-29 12:00:00,2.4,0.0,100.0,16.966666666666665,25.566666666666666,259.0,1022.4666666666667,41.0,Finland
2024-11-29 15:00:00,2.566666666666667,0.0,99.66666666666667,19.666666666666668,30.766666666666666,248.0,1021.6999999999999,5.333333333333333,Finland
2024-11-29 18:00:00,2.8666666666666667,0.0,100.0,21.600000000000005,34.333333333333336,254.0,1021.0,0.0,Finland
2024-11-29 21:00:00,2.9,0.0,100.0,19.3,30.599999999999998,259.3333333333333,1021.0666666666666,0.0,Finland
2024-11-30 00:00:00,2.2666666666666666,0.0,81.0,12.700000000000001,21.266666666666666,277.6666666666667,1022.0666666666666,0.0,Finland
2024-11-30 03:00:00,2.1999999999999997,0.0,56.666666666666664,11.666666666666666,20.099999999999998,274.0,1022.6333333333333,0.0,Finland
2024-11-30 06:00:00,2.733333333333333,0.0,99.66666666666667,9.533333333333333,17.833333333333332,269.0,1022.6,0.0,Finland
2024-11-30 09:00:00,3.7999999999999994,0.0,100.0,9.466666666666667,18.933333333333334,223.66666666666666,1022.2333333333332,8.333333333333334,Finland
2024-11-30 12:00:00,6.166666666666667,0.5,100.0,19.366666666666667,31.666666666666668,227.0,1020.1999999999999,23.333333333333332,Finland
2024-11-30 15:00:00,6.333333333333333,0.2,100.0,29.099999999999998,45.63333333333333,234.66666666666666,1018.1999999999999,1.6666666666666667,Finland
2024-11-30 18:00:00,5.966666666666666,0.0,100.0,32.233333333333334,50.4,239.33333333333334,1016.9,0.0,Finland
2024-11-30 21:00:00,5.366666666666667,0.0,86.0,30.400000000000002,47.63333333333333,245.0,1016.4333333333334,0.0,Finland
2024-12-01 00:00:00,5.566666666666666,0.0,100.0,29.433333333333334,45.86666666666667,247.0,1016.3333333333334,0.0,Finland
2024-12-01 03:00:00,5.7,0.0,100.0,28.03333333333333,43.699999999999996,246.33333333333334,1015.9666666666667,0.0,Finland
2024-12-01 06:00:00,5.8999999999999995,0.0,100.0,24.599999999999998,38.800000000000004,247.0,1015.6,0.0,Finland
2024-12-01 09:00:00,6.233333333333333,0.0,100.0,20.033333333333335,32.13333333333333,249.33333333333334,1016.2666666666668,8.0,Finland
2024-12-01 12:00:00,6.766666666666667,0.0,100.0,20.166666666666668,32.03333333333333,245.0,1016.1666666666666,27.0,Finland
2024-12-01 15:00:00,6.633333333333333,0.0,100.0,22.866666666666664,36.199999999999996,239.66666666666666,1016.1,3.0,Finland
2024-12-01 18:00:00,6.7,0.0,100.0,27.833333333333332,43.9,234.66666666666666,1015.2666666666668,0.0,Finland
2024-12-01 21:00:00,6.5,0.0,100.0,29.46666666666667,46.5,232.33333333333334,1014.3666666666667,0.0,Finland
2024-12-02 00:00:00,6.0,0.0,100.0,31.53333333333333,49.26666666666667,225.66666666666666,1013.4333333333334,0.0,Finland
2024-12-02 03:00:00,5.833333333333333,0.0,90.0,30.733333333333334,47.93333333333334,223.0,1011.9666666666667,0.0,Finland
2024-12-02 06:00:00,5.366666666666667,0.0,83.0,31.46666666666667,49.333333333333336,221.0,1009.9,0.0,Finland
2024-12-02 09:00:00,5.1,0.0,89.33333333333333,31.96666666666667,48.833333333333336,219.66666666666666,1008.6999999999999,12.333333333333334,Finland
2024-12-02 12:00:00,4.766666666666667,0.0,100.0,31.166666666666668,46.1,217.66666666666666,1006.9666666666667,47.666666666666664,Finland
2024-12-02 15:00:00,4.0,0.1,100.0,29.96666666666667,46.5,207.33333333333334,1006.0333333333333,4.666666666666667,Finland
2024-12-02 18:00:00,4.2,1.4,100.0,31.566666666666666,49.13333333333333,210.33333333333334,1004.4666666666667,0.0,Finland
2024-12-02 21:00:00,5.033333333333333,0.5,100.0,27.066666666666666,42.36666666666667,220.33333333333334,1003.8333333333334,0.0,Finland
2024-12-03 00:00:00,5.7,0.7,100.0,24.933333333333334,39.666666666666664,218.66666666666666,1003.6999999999999,0.0,Finland
2024-12-03 03:00:00,5.766666666666667,0.8,100.0,28.833333333333332,45.53333333333333,213.0,1002.6999999999999,0.0,Finland
2024-12-03 06:00:00,5.166666666666667,1.7000000000000002,100.0,25.7,39.666666666666664,266.3333333333333,1002.3333333333334,0.0,Finland
2024-12-03 09:00:00,1.4000000000000001,0.1,100.0,17.066666666666666,26.633333333333336,352.6666666666667,1005.3000000000001,4.333333333333333,Finland
2024-12-03 12:00:00,0.3666666666666667,1.8,100.0,18.099999999999998,28.266666666666666,343.6666666666667,1008.0333333333333,12.333333333333334,Finland
2024-12-03 15:00:00,-0.6333333333333333,0.1,70.33333333333333,14.133333333333333,23.566666666666666,325.6666666666667,1011.7333333333332,3.3333333333333335,Finland
2024-12-03 18:00:00,-3.1666666666666665,0.0,0.0,16.2,28.3,319.6666666666667,1015.0,0.0,Finland
2024-12-03 21:00:00,-3.733333333333333,0.0,0.0,15.799999999999999,29.066666666666666,315.6666666666667,1018.1,0.0,Finland
2024-12-04 00:00:00,-3.8333333333333335,0.0,0.0,15.633333333333333,28.733333333333334,326.3333333333333,1020.5666666666666,0.0,Finland
2024-12-04 03:00:00,-4.833333333333333,0.0,0.0,14.066666666666668,26.266666666666666,342.3333333333333,1023.9333333333334,0.0,Finland
2024-12-04 06:00:00,-5.233333333333333,0.0,0.0,12.966666666666667,25.433333333333334,350.3333333333333,1026.5,0.0,Finland
2024-12-04 09:00:00,-5.533333333333334,0.0,0.0,8.866666666666665,20.099999999999998,240.0,1029.0,25.666666666666668,Finland
2024-12-04 12:00:00,-6.3,0.0,0.0,4.133333333333334,12.133333333333333,23.0,1031.1000000000001,93.33333333333333,Finland
2024-12-04 15:00:00,-4.733333333333333,0.0,0.0,9.333333333333334,18.266666666666666,28.333333333333332,1032.8999999999999,9.666666666666666,Finland
2024-12-04 18:00:00,-4.666666666666667,0.0,7.0,10.966666666666667,20.599999999999998,56.333333333333336,1033.8,0.0,Finland
2024-12-04 21:00:00,-3.9,0.0,49.333333333333336,12.0,20.433333333333334,52.0,1033.8,0.0,Finland
2024-12-05 00:00:00,-2.466666666666667,0.0,49.333333333333336,9.4,18.53333333333333,72.66666666666667,1033.0333333333333,0.0,Finland
2024-12-05 03:00:00,-2.033333333333333,0.0,74.66666666666667,14.266666666666666,24.0,94.33333333333333,1032.2333333333333,0.0,Finland
2024-12-05 06:00:00,-0.8333333333333334,0.0,64.66666666666667,20.666666666666668,31.833333333333332,127.0,1030.7666666666667,0.0,Finland
2024-12-05 09:00:00,-1.2,0.0,96.66666666666667,20.866666666666667,31.2,137.66666666666666,1030.0333333333333,14.0,Finland
2024-12-05 12:00:00,-0.20000000000000004,0.5,100.0,23.46666666666667,34.733333333333334,150.66666666666666,1027.9666666666667,22.0,Finland
2024-12-05 15:00:00,0.26666666666666666,0.4,100.0,23.8,35.333333333333336,167.0,1026.3333333333333,3.3333333333333335,Finland
2024-12-05 18:00:00,0.39999999999999997,0.1,100.0,25.400000000000002,37.800000000000004,167.33333333333334,1024.6333333333332,0.0,Finland
2024-12-05 21:00:00,1.0666666666666667,0.4,100.0,27.0,40.46666666666667,173.0,1023.1333333333333,0.0,Finland
2024-12-06 00:00:00,1.5333333333333332,0.0,100.0,26.46666666666667,40.26666666666667,178.33333333333334,1022.1666666666666,0.0,Finland
2024-12-06 03:00:00,1.3666666666666665,0.0,100.0,23.766666666666666,35.800000000000004,179.33333333333334,1021.2333333333332,0.0,Finland
2024-12-06 06:00:00,1.0,0.0,100.0,19.599999999999998,29.766666666666666,182.66666666666666,1020.6,0.0,Finland
2024-12-06 09:00:00,0.9,0.0,100.0,20.0,29.866666666666664,170.66666666666666,1020.9,7.666666666666667,Finland
2024-12-06 12:00:00,0.9,0.0,100.0,19.566666666666666,29.133333333333336,170.66666666666666,1020.7666666666668,36.333333333333336,Finland
2024-12-06 15:00:00,-0.20000000000000004,0.0,100.0,13.766666666666666,21.133333333333333,134.33333333333334,1021.1,3.0,Finland
2024-12-06 18:00:00,-0.16666666666666666,0.0,100.0,15.433333333333332,23.599999999999998,155.0,1021.0666666666666,0.0,Finland
2024-12-06 21:00:00,0.19999999999999998,0.1,100.0,14.533333333333333,22.433333333333334,171.33333333333334,1020.8000000000001,0.0,Finland
2024-12-07 00:00:00,0.19999999999999998,0.0,100.0,15.299999999999999,23.46666666666667,169.66666666666666,1020.6666666666666,0.0,Finland
2024-12-07 03:00:00,0.06666666666666667,0.0,100.0,14.833333333333334,23.0,175.0,1020.1666666666666,0.0,Finland
2024-12-07 06:00:00,0.03333333333333333,0.1,100.0,14.666666666666666,23.066666666666666,159.33333333333334,1019.2333333333332,0.0,Finland
2024-12-07 09:00:00,0.06666666666666667,0.1,100.0,17.133333333333333,26.53333333333333,162.0,1019.0666666666666,7.666666666666667,Finland
2024-12-07 12:00:00,0.3333333333333333,0.1,100.0,15.533333333333333,24.166666666666668,162.0,1018.5666666666666,31.333333333333332,Finland
2024-12-07 15:00:00,0.19999999999999998,0.0,100.0,13.933333333333332,21.866666666666664,153.66666666666666,1018.4,3.3333333333333335,Finland
2024-12-07 18:00:00,0.39999999999999997,0.0,100.0,15.233333333333334,23.900000000000002,153.0,1018.6666666666666,0.0,Finland
2024-12-07 21:00:00,0.7666666666666666,0.0,100.0,15.6,24.3,155.66666666666666,1019.4,0.0,Finland
2024-12-08 00:00:00,0.5,0.0,100.0,11.799999999999999,18.833333333333332,164.33333333333334,1020.3000000000001,0.0,Finland
2024-12-08 03:00:00,0.5,0.0,100.0,10.966666666666667,17.7,138.0,1021.1999999999999,0.0,Finland
2024-12-08 06:00:00,-0.09999999999999999,0.0,100.0,11.4,18.1,141.33333333333334,1022.0666666666666,0.0,Finland
2024-12-08 09:00:00,-0.3,0.0,100.0,6.3,10.933333333333332,135.0,1023.9666666666667,9.666666666666666,Finland
2024-12-08 12:00:00,-0.19999999999999998,0.0,100.0,1.2,2.4,175.33333333333334,1024.8333333333333,37.666666666666664,Finland
2024-12-08 15:00:00,-0.4000000000000001,0.0,85.33333333333333,3.6,6.1000000000000005,30.333333333333332,1025.8999999999999,3.6666666666666665,Finland
2024-12-08 18:00:00,-1.2333333333333334,0.0,99.66666666666667,3.0666666666666664,5.533333333333334,12.333333333333334,1026.9333333333334,0.0,Finland
2024-12-08 21:00:00,-1.4666666666666668,0.0,100.0,5.233333333333333,8.933333333333334,336.0,1028.4333333333334,0.0,Finland
2024-12-09 00:00:00,-2.966666666666667,0.0,100.0,4.3999999999999995,7.266666666666667,327.6666666666667,1029.5666666666666,0.0,Finland
2024-12-09 03:00:00,-3.6999999999999997,0.0,56.666666666666664,6.3,12.366666666666665,318.6666666666667,1031.0,0.0,Finland
2024-12-09 06:00:00,-3.3666666666666667,0.0,56.333333333333336,9.4,20.400000000000002,322.0,1032.2333333333333,0.0,Finland
2024-12-09 09:00:00,-1.3999999999999997,0.0,100.0,8.133333333333333,16.0,339.3333333333333,1033.8666666666668,8.666666666666666,Finland
2024-12-09 12:00:00,-0.3333333333333333,0.0,100.0,7.833333333333333,12.200000000000001,8.333333333333334,1034.8,31.0,Finland
2024-12-09 15:00:00,-0.6333333333333333,0.0,100.0,6.166666666666667,10.266666666666667,348.6666666666667,1035.7333333333333,2.6666666666666665,Finland
2024-12-09 18:00:00,-1.1333333333333333,0.0,100.0,5.8999999999999995,9.2,304.3333333333333,1035.7666666666667,0.0,Finland
2024-12-09 21:00:00,-1.9333333333333333,0.0,100.0,10.200000000000001,15.266666666666666,272.0,1034.8,0.0,Finland
2024-12-10 00:00:00,-2.1,0.0,100.0,13.166666666666666,20.833333333333332,265.3333333333333,1033.3333333333333,0.0,Finland
